

Calculating E_bulk....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:42:42     -905.142230        0.0001


The energy of the Fe bulk system is -905.1422300964848 eV.
Potential: MACE(large)    GB: Sigma17(410)










Calculating E_bulk_sub....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    9 12:19:38    -1469.912394        0.0212
BFGS:   10 12:19:50    -1469.912531        0.0146
BFGS:   11 12:20:01    -1469.912676        0.0259
BFGS:   12 12:20:13    -1469.912876        0.0299
BFGS:   13 12:20:25    -1469.913068        0.0197
BFGS:   14 12:20:36    -1469.913202        0.0157
BFGS:   15 12:20:48    -1469.913302        0.0153
BFGS:   16 12:21:00    -1469.913419        0.0238
BFGS:   17 12:21:11    -1469.913554        0.0229
BFGS:   18 12:21:22    -1469.913660        0.0145
BFGS:   19 12:21:33    -1469.913726        0.0137
BFGS:   20 12:21:44    -1469.913783        0.0124
BFGS:   21 12:21:55    -1469.913852        0.0174
BFGS:   22 12:22:06    -1469.913923        0.0142
BFGS:   23 12:22:17    -1469.913973        0.0133
BFGS:   24 12:22:28    -1469.914010        0.0122
BFGS:   25 12:22:41    -1469.914053        0.0127
BFGS:   26 12:22:55    -1469.914111        0.0163
BFGS:   27 12:23:09    -1469.914167        0.0123
BFGS:   28 12:23:23    -1469.914205        0.0104
BFGS:   29 12:23:37    -1469.914234        0.0100
BFGS:   30 12:23:51    -1469.914268        0.0127
BFGS:   31 12:24:05    -1469.914307        0.0120
BFGS:   32 12:24:19    -1469.914336        0.0071
BFGS:   33 12:24:32    -1469.914352        0.0057
BFGS:   34 12:24:47    -1469.914363        0.0050
BFGS:   35 12:25:01    -1469.914378        0.0075
BFGS:   36 12:25:15    -1469.914392        0.0072
BFGS:   37 12:25:29    -1469.914401        0.0036
BFGS:   38 12:25:43    -1469.914407        0.0026
BFGS:   39 12:25:57    -1469.914415        0.0038
BFGS:   40 12:26:11    -1469.914425        0.0062
BFGS:   41 12:26:25    -1469.914435        0.0056
BFGS:   42 12:26:39    -1469.914441        0.0026
BFGS:   43 12:26:53    -1469.914445        0.0020
BFGS:   44 12:27:07    -1469.914449        0.0032
BFGS:   45 12:27:22    -1469.914455        0.0043
BFGS:   46 12:27:36    -1469.914459        0.0031
BFGS:   47 12:27:50    -1469.914461        0.0012
BFGS:   48 12:28:04    -1469.914463        0.0014
BFGS:   49 12:28:18    -1469.914464        0.0021
BFGS:   50 12:28:33    -1469.914466        0.0023
BFGS:   51 12:28:47    -1469.914467        0.0014
BFGS:   52 12:29:01    -1469.914468        0.0009
BFGS:   53 12:29:15    -1469.914468        0.0014
BFGS:   54 12:29:29    -1469.914469        0.0015
BFGS:   55 12:29:43    -1469.914469        0.0011
BFGS:   56 12:29:57    -1469.914470        0.0005
BFGS:   57 12:30:12    -1469.914470        0.0004
BFGS:   58 12:30:26    -1469.914470        0.0008
BFGS:   59 12:30:40    -1469.914470        0.0009
BFGS:   60 12:30:54    -1469.914471        0.0006
BFGS:   61 12:31:08    -1469.914471        0.0003
BFGS:   62 12:31:23    -1469.914471        0.0005
BFGS:   63 12:31:37    -1469.914471        0.0008
BFGS:   64 12:31:51    -1469.914471        0.0007
BFGS:   65 12:32:05    -1469.914471        0.0003
BFGS:   66 12:32:20    -1469.914471        0.0002
BFGS:   67 12:32:34    -1469.914471        0.0004
BFGS:   68 12:32:48    -1469.914472        0.0005
BFGS:   69 12:33:02    -1469.914472        0.0003
BFGS:   70 12:33:17    -1469.914472        0.0002
BFGS:   71 12:33:31    -1469.914472        0.0002
BFGS:   72 12:33:45    -1469.914472        0.0003
